,نوع و مدل لپ تاپ new,سری AMD new,جزئیات CPU new,مشخصات cpu ( پردازنده ) new,CPU Manufacturer new,نسل پردازنده مرکزی new,هسته پردازشی new,هسته واقعی new,میزان حافظه کش L2 new,ظرفیت داخلی new,امکان ارتقاء هارد دیسک تا new,نوع حافظه داخلي new,ظرفیت حافظه دوم new,سازنده پردازنده گرافیک new,مدل پردازنده گرافیک new,مشخصات گرافیک new,صفحه نمایش مات یا شیشه‌ای new,نور پس زمینه کیبورد new,شارژدهي باتري new,ویژگی های باتری و شارژر new,شارژر / باتری new,ابعاد صفحه نمایش new,تعدادفن new,صحفه نمایش مات new,صفحه تاچ new,نور صفحع کلید new,حسگر اثر انگشت Touch ID new,amount new
925,  ,          ,Ryzen 5       ,     ,             , , 4600H    ,                     ,  11 مگابایت                       ,   16 گیگابایت                                     ,              ,                 , 512گیگابایت دارد                             , NVIDIA                  ,  GeForce RTX™ 3050   ,             4گیگابایت                      ,دارد , دارد    ,         , ,       سه سلولی / لیتیوم یونی با ظرفیت 56 وات ساعت         , 15.6 اینچ          ,  ,  ,   ,            ,   ,38.200.000
926,  ,          ,Corei7       ,     ,             , , 11800H    ,8                     ,  24MB                       ,   64GB                                     ,              ,2TB SSD                ,      PCIE G3 NVMe                         , NVIDIA                  ,  Geforce RTX3070   ,            8GB                       ,دارد ,     ,    2 تا 4 ساعت     , ,     4Cell 60WHr           ," 15.6""          ",  ,  ,   ,            ,   ,85.790.000
927,  ,          ,       ,     ,             , ,     ,                     ,                         ,                                        ,              ,                 ,                               ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,8.000.000
928,  ,          ,       ,     ,             , ,     ,                     ,                         ,                                        ,              ,                 ,                               ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,77.000.000
929,  ,          ,Core i5       ,     ,             , , 12500H    ,                     ,  18MB                       ,   8 گیگابایت                                     ,              ,256GB SSD                ,                               , NVIDIA NVIDIA                 ,  GeForce RTX 3050   , 4 گیگابایت                                  , ,     ,  2 الی 4 ساعت       , ,  4Cell 90WHr              , 17.3 اینچ          ,  ,  ,   ,            ,   ,38.991.000
930,  ,          ,Celeron       ,     ,   اینتل          , ,  N4020   ,                     ,   4 مگابایت                      ,   8 گیگابایت                                     ,  ندارد            ,                 ,   512 گیگابایت                            , Intel                  ,  UHD Graphics 605 پردازنده گرافیکی یکپارچه  ,                                   , ,  ندارد   ,         , ,                ,  15.6 اینچ         ,  ,  ,   ,            ,   ,14.200.000
931,  ,ایسوس(Asus)          ,1115G4       ,     ,             , ,x86 Core i3    ,2 هسته حقیقی + 4 هسته مجازی                     ,6 مگابایت                         ,    16GB   بدون حافظه‌ی گرافیکی مجزا                                 ,     1TB         ,                 ,     256GB                          ,                   ,Intel UHD  Intel HD Graphics   ,                                   ,خیر ,Backlit ندارد    ,  1 الی 3 ساعت       , ,                , 15.6 اینچ          , ندارد 1 عدد,  ,   ,            ,   ,22.799.000
932,  ,          ,Ryzen 5       ,     ,             , , Ryzen 5 4600H    ,                     ,8 مگابایت                         ,   8 گیگابایت                                     ,              ,1TB+256GB SSD SSD                ,                               , NVIDIA                  ,  GeForce GTX 1650Ti   , 4GB                                  ,بله , دارد    ,  Up to 5 Hours       , ,  باتری لیتیوم-یون با ظرفیت 48 وات‌ساعت              , 15.6 inch          ,  ,  ,   ,            ,   ,31.000.000
933,  ,          ,Ryzen 7       ,     ,             ,سری 5000 AMD , 5800H    ,   8 هسته                  ,     20 مگابایت                    ,   8 گیگابایت                                     ,              ,    ندارد             ,   512 گیگابایت                            ,    Nvidia GeForce               ,     ,                                   , ,     دارد,         , ,  با ظرفیت 60 وات ساعت              , 15.6 اینچ          ,  ,  ,   ,            ,   ,42.500.000
934,ویوبوک - VivoBook  ,  ایسوس - ASUS        ,Ryzen 5       ,     ,             ,سری 5000 AMD , 5600H    ,   6 هسته                  ,     19 مگابایت                    ,   8 گیگابایت                                     ,              ,    ندارد             ,   1 ترابایت                            ,    AMD Radeon               ,     ,                                   , ,     دارد,         , ,  با ظرفیت 70 وات ساعت              , 14.0 اینچ          ,  ,  ,   ,            ,   ,27.999.000
935,  ,          ,       ,     ,             , ,     ,                     ,                         ,                                        ,              ,                 ,                               ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,52.520.000
936,  ,          ,       ,     ,             , ,     ,                     ,                         ,                                        ,              ,                 ,                               ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,27.900.000
937,  ,          ,       ,     ,             , ,     ,                     ,                         ,                                        ,              ,                 ,                               ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,166.000.000
938,  ,          ,12700H       ,     ,             , , Core i7    ,14                     ,24 مگابایت                         ,    16 گیگابایت   4GB                                 ,              ,                 ,     512 گیگابایت                          ,                   ,  RTX 3050 Ti   ,                                   , ,     ,  بیش از 6 ساعت با کاربری معمولی       , ,                , 16.1 اینچ          ,  ,  ,   ,            ,   ,51.500.000
939,  ,          ,       ,     ,             , ,     ,                     ,                         ,                                        ,              ,                 ,                               ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,24.900.000
940,  ,          ,11th Gen\Tiger Lake       ,     ,  Intel           , , Core i9-11900H    8 هسته,                     , 24MB Smart Cache                        ,  32GB                                      ,❌              ,                 , 1TB ✔️                             ,                   , NVIDIA GeForce RTX 3060    ,6GB                                   , ,     ,         , , 57WHr               ,15.6 اینچ           ,  ,  ,   ,            ,   ,84.695.000
941,  ,          ,       ,     ,             , , 8550u  Core i7  ,                     ,           8 مگابایت              ,                     8 گیگابایت                   ,              ,          1ترابایت +256گیگابایتSSD    SSD-SATA   ,                               ,   NVIDIA                ,    GeForce MX130 ,           2 گیگابایت                        , ,     ,     تا 5:00 ساعت    , ,  باتری لیتیوم‌پلیمر با ظرفیت 43 وات‌ساعت              , 14 اینچ          ,  ,  ,   ,            ,   ,28.500.000
942,Macbook pro m2  ,          ,Apple M2 Pro       ,     ,   اپل          , ,  Apple M2 Pro chip   ,12 هسته‌ای (8 هسته‌ی پردازش سنگین و 4 هسته‌ی کم‌مصرف)                     ,   12 مگابایت                      ,   16 گیگابایت                                     ,              ,   SSD              ,   512 گیگابایت                            , Apple                  ,  Apple M2 Pro پردازنده گرافیکی یکپارچه  , بدون حافظه گرافیکی مجزا                                  , ,  دارد   ,  حداکثر تا 15 ساعت       , , 99.6 وات بر ساعت               ,  16.2 اینچ         ,  ,  ,   ,            ,   ,129.590.000
943, Portege X20W-D ,          ,Core i7       ,     ,             , , i7-7600U    ,                     ,                         ,   8 گیگابایت                                     ,              ,                 ,                          256GB     , intel                  ,  Intel Integrated Graphics   ,                                   , ,     ,         , ,                , 12 اینچ          ,  ,  ,   ,            ,   ,13.500.000
944,  ,          ,Core i5       ,     ,             , , 1235U    ,    10.0 2                ,  12 مگابایت                       ,   24 گیگابایت                                     ,              ,        512 گیگابایت         ,                               , Intel                  ,  Intel® UHD Graphics for 12th Gen Intel® Processors   ,                                   , , ندارد    ,         , , 38Whr               , 15.6 اینچ          ,  ,  ,   ,            ,   ,30.490.000
945,  ,          ,       , Core i7    ,             ,Quad-core 11th Gen Intel® Core™ H35 i7-11370H ,     ,                     ,                       6MB  ,                                      32 گیگابایت  ,              ,                 ,                 1 ترابایتی SSD              ,                   ,     ,"             NVIDIA GeForce RTX 3050 Ti, 4GB GDDR6 GPU                      ", ,     ," بیش از 19 ساعت با استفاده های گوناگون, مشخصات باتری:, در حالت نرمال 58 وات ساعت, در حالت حداقل 56.3 وات ساعت        ", ,                ,           ,  ,  ,   ,            ,   ,144.200.000
946,  ,          ,"Core i7, ,       ",     ,"    Intel, ,         ", ," 1065G7, ,    ",                     ,"  8 مگابایت, ,                       ","     16 گیگابایت, ,                                   ","            1 ترابایت, ,  ",                 ,"        512 گیگابایت, ,                       "," NVIDIA, ,                  ","  GEFORCE MX330, ,   ","           2 گیگابایت, ,                        ", ,     ,"   2 الی 4 ساعت, ,      ", ," 37 وات بر ساعت, ,               "," 15.6 اینچ, ,          ",  ,"دارد, ,  ",   ,            ,   ,30.300.000
947,  ,          ,Core i3       ,     ,             ,نسل 11 اینتل , 1115G4    ,   2 هسته                  ,     6 مگابایت                    ,   8 گیگابایت                                     ,              ,    ندارد             ,   256 گیگابایت                            ,    Intel               ,     ,                                   , ,     ندارد,         , ,  با ظرفیت 38 وات ساعت              , 15.6 اینچ          ,  ,  ,   ,            ,   ,15.100.000
948,  ,          ,  Intel Core i7     ,     ,             , , 9750H    ,                     ,                         ,          16 گيگابايت                              ,              ,                 ,        512G                       , NVIDIA                  ,     , 4G                                  ,بله ,     ,         , ,  97WH              , 15.6          ,  ,  ,   ,            ,   ,32.900.000
949,  ,          ,Core i7       ,     ,             , , Intel i7 1165G7    ,                     ,  12 مگابایت                       ,   20 گیگابایت                                     ,              ,                 , 1ترابایت دارد                             , NVIDIA                  ,  GeForce MX350   ,             2گیگابایت                      ,دارد , دارد    ,         , ,       باتری 3 سلولی با ظرفیت 42 وات‌ساعت         , 15.6 اینچ          ,  ,  ,   ,            ,   ,40.000.000
950,  ,          ,       ,     ,        Intel     , , Core i9 12900H    ,                     ,            L3 cache 24MB             ,     16                                   ,         1 ترا     ,                 ,                               , Nvidia                  ,  RTX3060   , 6G GDDR6                                  , ,     ,         , 4 سلولی از نوع یون لیتیم با 8 ساعت شارژدهی,         240 وات سریع       ,           ,  ,  ,   ,     تک نور با سه سطح نور       ,بله   ,89.700.000
951,  ,          ,       , Intel Core i5 5300U / 2.3 GHz Max Turbo Speed 2.9 GHz/ Cache - 3 MB نسل پنج    ,             , ,     ,                     ,                         ,8 گيگابايت قابل ارتقاء تا 16 گیگابایت                                        ,              ,                 ,                   256 ssd قابل ارتقاء به تمام هارد های معمولی و اس اس دی            ,                   ,     ,             Intel HD Graphics 5500                      , ,     ,         , ,   لیتیوم یون / 4 سلول / 54 وات ساعت             ,           ,  ,  ,   ,            ,   ,9.600.000
952,  ,       مک بوک پرو   ,Apple M Chip       ,     ,             , , Apple M2 Pro    ,                     ,                         ,16GB                                        ,              ,512GB SSD SSD                ,                               ,                   ,  Apple Shared   ,                                اشتراکی   , , دارد    ,         , ,  70 وات ساعت              , 14.2 inch          ,  ,  ,   ,            ,   ,102.900.000
953,  ,          ,Corei5       ,     ,             , , 1135G7    ,4                     ,  8MB                       ,   8GB                                     ,              ,1TB SSD                ,      PCIe NVMe                         , NVIDIA                  ,  Geforce MX330   ,            2GB                       ,دارد ,     ,    2 تا 4 ساعت     , ,     2Cell 37WHr           ," 15.6""          ",  ,  ,   ,            ,   ,25.910.000
954,  ,          ,Core i9       ,     ,             , , 11900H    ,                     ,24 مگابايت                         ,     32 گیگابایت                                   ,              ,1 ترابایت SSD حافظه SSD‌ از نوع M.2               ,                               , Nvidia                  ,  GeForce RTX™ 3080   ,  8 گیگابایت       8 گیگابایت                          ,دارد ,     ,         , ,  باتری لیتیوم یون با ظرفیت 99.98 وات ساعت              , 16.0 اینچ          ,  ,  ,   ,   دارد         ,   ,83.000.000
955, 11400H ,          ,Core i5 Tiger Lake      ,     , Intel            ,نسل 11 ,x86     ,6                     ,12MB                         , 16GB                                       ,              ,                 , 512GB                              ,NVIDIA                   ,GeForce RTX 3050    ,              4GB                     , ,Backlit Chiclet Keyboard 1-Zone RGB     ,         , ,3Cell 48WHrs                ,           ,  ,  ,   ,            ,   ,nmwjwd
956,  ,          ,Core i7       ,     ,             ,نسل 11 اینتل , 11800H    ,   8 هسته                  ,     24 مگابایت                    ,   16 گیگابایت                                     ,              ,    ندارد             ,   1 ترابایت                            ,    Nvidia GeForce               ,     ,                                   , ,     دارد,         , ,  با ظرفیت 80 وات ساعت              , 17.3 اینچ          ,  ,  ,   ,            ,   ,84.100.000
957,  ,          ,       ,     ,             , ,     ,                     ,                         ,                                        ,              ,                 ,                               ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,44.199.000
958,  ,          ,Core i3       ,     ,             , , 1115G4    ,                     ,6 مگابایت                         ,     4 گیگابایت                                   ,              ,256 گیگابایت SSD حافظه SSD‌ از نوع M.2               ,                               , Intel                  ,  Intel® UHD Graphics   ,  بدون حافظه گرافیکی مجزا       بدون حافظه گرافیکی مجزا                          ,دارد ,     ,         , ,  باتری با ظرفیت 45 وات ساعت              , 15.6 اینچ          ,  ,  ,   ,   ندارد         ,   ,18.607.554
959,  ,          ,Core i7       ,     ,             , , 1065G7    ,    4.0 2                ,  8 مگابایت                       ,   8 گیگابایت                                     ,              ,        1 ترابایت         ,                               , Nvidia                  ,  Geforce MX-330   , 2GB GDDR5                                  , ,     ,         , , 37Whr               , 15.6 اینچ          ,  ,  ,   ,            ,   ,27.100.000
960, RTX 3050 ,          ,Core i5       ,     ,             , ,     ,4                     ,8MB                         ,8GB                                        ,              ,                 ,    512GB                           ,                   ,GEFORCE     ,              4GB                     ,دارد ,     ,1 الی 3 ساعت         , ,4Cell 76WHr                ,           ,  ,  ,   ,            ,   ,37.000.000
961,  ,          ,       ,     ,        Intel     , , Core i7 1250U    ,                     ,            L3 cache 12MB             ,     16                                   ,         512 گیگ     ,                 ,                               , اینتل                  ,  Iris Xe Graphics G7 (96EU)   , مجتمع                                  , ,     ,         , 12.3 ساعت شارژدهی ترکیبی,         65 واتی سریع       ,           ,  ,  ,   ,     تک نور با سه سطح نور       ,بله   ,49.010.000
962,  ,          ,Apple M1       ,     ,             , , M1    ,   8 هسته                  ,     12 مگابایت                    ,   8 گیگابایت                                     ,              ,    ندارد             ,   512 گیگابایت                            ,    Apple               ,     ,                                   , ,     دارد,  تا 17 ساعت       , ,  با ظرفیت 58 وات ساعت              , 13.3 اینچ          ,  ,  ,   ,            ,   ,65.700.000
963,  ,          ,RYZEN       ,     ,             , ,     ,                     ,                         ,                8GB                        ,              ,                 ,                   256 GB            ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,nmwjwd
964,  ,          ,       ,     ,             , ,     ,                     ,                         ,                                        ,              ,                 ,                               ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,57.300.000
965,  ,          ,       ,     ,        Intel     , , Core i9 13900H    ,                     ,            L3 cache 24MB             ,     16                                   ,         1 ترا     ,                 ,                               , Nvidia                  ,  RTX4070   , 8G GDDR6                                  , ,     ,         , ,         240 وات سریع       ,           ,  ,  ,   ,     RGB       ,خیر   ,106.840.000
966,  ,          ,       ,     ,             , ,     ,                     ,                         ,                                        ,              ,                 ,                               ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,58.450.000
967,  ,          ,Ryzen 7       ,     ,             , , 4980U    ,                     ,                      8مگابایت   ,                     8 گیگابایت                   ,              , SSD NVMe M.2      256 گيگابايت          ,                               , AMD                  ,  Surface Radeon Graphics   ,                                   , ,     ,         , , 45.8 WHr               ,15 اینچ           ,  ,  ,   ,            تک رنگ,   ,59.500.000
968,  ,ایسر(acer)          ,1255U       ,     ,             ,نسل 12 ,x86 Core i7    ,10 هسته حقیقی 12 هسته مجازی                     ,12 مگابایت                         ,    16GB   2GB                                 ,     ندارد         ,                 ,     512GB                          ,                   ,GeForce  Geforce MX550 2GB GDDR6   ,                                   ,بله , ندارد    ,  2 الی 4 ساعت       , ,                , 15.6 اینچ          , ندارد ,  ,   ,            ,   ,33.898.000
969,  ,          ,  Intel Core i7     ,     ,             , , 6600U    ,                     ,                         ,          16 گيگابايت                              ,              ,                 ,        512G                       , NVIDIA                  ,     ,                                   ,خیر ,     ,         , ,  Up to 13.5 hours of local video playback              ,           ,  ,  ,   ,            ,   ,24.500.000
970,  ,          ,       ,     ,        Intel     , , Core i9 13900H    ,                     ,            L3 cache 24MB             ,     16                                   ,         512 گیگ     ,                 ,                               , Nvidia                  ,  RTX4050   , 6G GDDR6                                  , ,     ,         , ,         240 وات سریع       ,           ,  ,  ,   ,     RGB       ,خیر   ,78.420.000
971,  ,          ,       ,     ,             , ,     ,                     ,                         ,                                        ,              ,                 ,                               ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,15.000.000
972,  ,          ,12th Gen\Alder Lake       ,     ,  Intel           , , Core i7-1280P    14 هسته (6 هسته پُرمصرف + 8 هسته کم مصرف),                     , 24MB Smart Cache                        ,  32GB                                      ,❌              ,                 , 1TB ✔️                             ,                   , NVIDIA GeForce RTX 3050 MAX-Q    ,4GB                                   , ,     ,         , , 82WHr               ,16.0 اینچ           ,  ,  ,   ,            ,   ,86.700.000
973,  ,لنوو(lenovo)          ,1135G7 Tiger Lake      ,     ,             ,نسل 11 , Core i5    ,4 هسته حقیقی + 8 هسته مجازی                     ,8 مگابایت                         ,    8GB   2GB                                 ,     ندارد         ,                 ,     256GB                          ,                   ,GeForce  Geforce MX350 2GB GDDR5   ,                                   ,بله ,ندارد ندارد    ,  1 الی 3 ساعت       , ,                , 15.6 اینچ          , ندارد 1 عدد,  ,   ,            ,   ,22.000.000
974,  ,          ,"    M2 Max, 16 هسته Neural-Engine, 200 گیگ پهنای باند مموری   ", 12 هسته    ,             , ,     ,                     ,                         ,               96 گیگ                         ,              ,       1 ترابایت          ,                               ,                   ,     , ندارد            38 هسته                      , ,     ,         , ,                ,     14.2 اینچ      ,  ,  ,   ,            ,   ,227.000.000
975,  ,          ,       ,     ,             , , Core i7    ,                     ,                         ,16GB                                        ,              ,       1TB SSD          ,                               ,           Nvidia        ,     ,                                   , ,     ,         , ,                ,           ,RTX 3070 8GB  ,  ,   ,            ,   ,69.980.000
976, 5800H ,          ,Ryzen 7 AMD Cezanne (Zen 3)      ,     , AMD            ,نسل 5 ,x86     ,8                     ,16MB                         , 16GB                                       ,              ,                 , 1TB                              ,NVIDIA                   ,GeForce RTX 3070    ,              8GB                     , ,4Zone RGB     ,         , ,4Cell 80WHr                ,           ,  ,  ,   ,            ,   ,65.500.000
977,  ,          ,Corei7       ,     ,             , , 1065G7    ,4                     ,  12MB                       ,   16GB                                     ,              ,1TB SSD                ,      PCIe NVMe                         , NVIDIA                  ,  Geforce MX330   ,            2GB                       ,دارد ,     ,    2 تا 4 ساعت     , ,     2Cell 37WHr           ," 15.6""          ",  ,  ,   ,            ,   ,33.650.000
978,  ,          ,"Core i5, ,       ",     ,"    Intel, ,         ", ," 1135G7, ,    ",                     ,"  8 مگابایت, ,                       ","     8 گیگابایت, ,                                   ",              ,                 ,"        256 گیگابایت, ,                       "," NVIDIA, ,                  ","  GEFORCE MX350, ,   ","           2 گیگابایت, ,                        ", ,     ,"   2 الی 4 ساعت, ,      ", ," 45 وات بر ساعت, ,               "," 14 اینچ, ,          ",  ,"دارد, ,  ",   ,            ,   ,17.900.000
979,  ,          ,       ,     ,             , , Intel® Core™i7-13700HX    ,                     ,  30 MB Intel® Smart Cache                       ,   16GB DDR5 4800 MH                                     ,              ,512GB SSD NVME       512GB          ,                               ,                   ,  RTX4060   , 8GB                                  , ,     ,         , ," 6-Cell Battery, 86WHr (Integrated)        330W Adapter       ", 15 اینچ          ,  ,  ,   , RGB           ,   ,76.600.000
980,  ,          ,Core i7       ,     ,             , , 10750H    ,                     ,12 مگابایت                         ,     16 گیگابایت                                   ,              ,512 گیگابایت SSD حافظه SSD‌ از نوع M.2               ,                               , Nvidia                  ,  GeForce® RTX 2060   ,  6 گیگابایت       6 گیگابایت                          ,دارد ,     ,         , ,  باتری با ظرفیت 51 وات ساعت              , 15.6 اینچ          ,  ,  ,   ,   دارد         ,   ,27.500.000
981,  ,          ,   Core i7    ,     ,     Intel AMD       , ,     ,                     ,        12 مگابایت                 ,            16 گیگابایت DDR4                           ,              ,         512 گیگابایت        ,                        PCIe-based onboard       ,                   ,     ,               4GB                    , ,     ,        تا 11:00 ساعت , ,                ,    16 اینچ       ,  ,  ,   ,  دارد          ,   ,105.600.000
982,  ,          ,Apple M1 Pro       ,     ,اپل             , , Apple M1 pro 10CORE    ,           پردازنده 10هسته ای (هشت هسته کارایی +دو هسته بهره وری)          ,  24MB                       ,           16 گیگابایت                             ,           512 گیگابایت   ,                 ,                               , Apple                  ,  Apple M1 Pro   ,                  بدون حافظه گرافیکی اختصاصی                 ,ندارد ,     دارد,  تا 17 ساعت پخش فیلم برنامه Apple TV تا 11 ساعت وب بی سیم       , ,  باتری لیتیوم پلیمر با ظرفیت 70 وات ساعت              ,   16.2 اینچ        ,  ,  ,   ,            , دارد  ,100.780.000
983, RTX 3070 TI ,          ,Core i9       ,     ,NVIDIA             , ,     ,14                     ,24MB                         ,32GB                                        , ندارد             ,                 ,1TB                               ,                   ,GEFORCE     ,              8GB                     ,دارد ,     ,2 الی 4 ساعت         , ,4Cell 90WHr                ,           ,  ,  ,   ,            ,   ,121.000.000
984,  ,          ,       ,     ,             , ,     ,                     ,                         ,                                        ,              ,                 ,                               ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,99.000.000
985,  ,          ,       ,     ,        AMD     , , Ryzen 5 6600H    ,                     ,            L3 cache 16MB             ,     16                                   ,         512 گیگ     ,                 ,                               , AMD                  ,  AMD Radeon  660M   , مجتمع                                  , ,     ,         , 11 ساعت شارژدهی ترکیبی,         100 واتی سریع از جنس GaN و  پاور دلیوری 3.0       ,           ,  ,  ,   ,     تک نور با سه سطح نور       ,بله   ,37.510.000
986,  ,          ,Core i7       ,     ,             , , 1255U    ,                     ,  12 مگابایت                       ,   16 گیگابایت                                     ,              ,512 گیگابایت SSD                ,                               , intel                  ,  Iris Xe   , Onboard                                  , ,     ,         , ,  42Wh              , 15.6 اینچ          ,  ,  ,   ,            ,   ,30.379.020
987,  ,          ,       ,     ,        Intel     , , Core i9 13900H    ,                     ,            L3 cache 24MB             ,     16                                   ,         1 ترا     ,                 ,                               , Nvidia                  ,  RTX4060   , 8G GDDR6                                  , ,     ,         , ,         240 وات سریع       ,           ,  ,  ,   ,     RGB       ,خیر   ,81.140.000
988,  ,          ,       ,     ,             , , AMD Ryzen™ 9 7945HX    ,                     ,  64MB L3 cache                       ,   16 گیگابایت DDR5 4800MHz                                     ,              ,1TB حافظه از نوع SSD NVMe                 ,                               ,                   ,  RTX™ 4060 140W   , 8GB DDR6                                  , ,     ,         , , 90wh        280 W power adapter       , 17اینچ          ,  ,  ,   ,     RGB       ,   ,95.600.000
989,  ,          ,8356U       ,     ,             ,نسل8 , core i5    ,                     ,                         ,   16GB                                     ,              ,512GB SSD                ,                               ,                   ,     ,                                   , ,     ,         , ,                , 13.3 اینچ          ,  ,  ,   ,            ,   ,19.200.000
990,  ,          ,       ,Quad-core 10th Gen Intel Core i7-1065G7 Processor     ,             , ,     ,                     ,                         ,"32GB, 3733Mhz LPDDR4x                                        ",              ,                 ,                           Solid-state drive (SSD): 512GB    ,                   ,     ,             NVIDIA GeForce GTX 1660 Ti with Max-Q Design w/6GB GDDR6 graphics memory                      , ,     ,         , ,                ,"   0.90 - 0.568 × 9.87 × 13.5 اینچ, (23 - 15 × 251 × 343 میلیمتر)        ",  ,  ,   ,            ,   ,89.789.000
991,  ,          ,Core i7       ,     ,             , , 8750H    ,                     ,9 مگابایت                         ,   16GB                                     ,              ,512GB SSD                 ,                               ," AMD, Intel                  ",  AMD Radeon Pro 555X   , 4GB                                  ,دارد ,     ,         , ,                , 15.6 اینچ          ,  ,  ,   ,            ,   ,55.400.000
992, RTX2050 ,          ,Core i7       ,     ,NVIDIA             , ,     ,10                     ,          12MB               ,      4GB                                  ,              ,           16GB      ,    1TB                           ,                   ,     ,                                   , ,     ,3 الی 5 ساعت         , ,3Cell 51Whr                ,           ,  ,  ,   ,            ,   ,65.700.000
993,  ,          ,       ,     ,             , ,     ,                     ,                         ,                                        ,              ,                 ,                               ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,4.500.000
994,  ,          ,Core i7       ,     ,             , , 12650H    ,    10.0 3                ,  24 مگابایت                       ,   32 گیگابایت                                     ,              ,        512 گیگابایت         ,                               , Nvidia                  ,  GeForce RTX 3050Ti   , 4GB GDDR6                                  , , دارد    ,         , , 52.5Whr               , 15.6 اینچ          ,  ,  ,   ,            ,   ,50.500.000
995, 1155G7 ,          ,Core i5 Tiger Lake      ,     , Intel            ,نسل 11 ,x86     ,4                     ,8MB                         , 16GB                                       ,   1TB           ,                 , 512GB                              ,NVIDIA                   ,GeForce MX350    ,              2GB                     , ,     ,         , ,2Cell 38WHrs                ,           ,  ,  ,   ,            ,   ,26.000.000
996,  ,          ,Core i7       ,     ,             ,نسل 12 , 12700H    ,14 هسته‌ای                     ,      24 مگابایت                   ,     16 گیگابایت                                   ,              ,1 ترابایت SSD                ,                               , NVIDIA                  ,  GeForce RTX 3070   ,  8 گیگابایت       8 گیگابایت                          ,دارد ,     ,2 الی 4 ساعت         , ,        4Cell 90WHr        , 15.6 اینچ          ,  ,  ,   ,            ,   ,81.800.000
997,  ,          ,12900HX Alder Lake      ,     ,             ,نسل 12 ,x86 Core i9    ,16 هسته حقیقی +24 هسته مجازی                     ,30 مگابایت                         ,    32GB   16GB                                 ,     ندارد         ,                 ,     1TB                          ,                   ,GeForce  Geforce RTX3080Ti 16GB GDDR6   ,                                   ,بله ,RGB backlit دارد    ,  1 الی 3 ساعت       , ,                , 16 اینچ          , ندارد 2 عدد,  ,   ,            ,   ,160.000.000
998, Latitude 7490 ,          ,       ,"     سازنده پردازنده : Intel, سری پردازنده : Core i5, مدل پردازنده : 7700U 2.6GHz",             ,7 ,     ,                     ,                         ,                 16 گیگابایت (قابل ارتقا تا 32 گیگابایت)                       ,              ,                 ,"                         ظرفیت حافظه داخلی : 256 گیگابایت, نوع حافظه داخلی : SSD, مشخصات حافظه داخلی : قابل ارتقاء تا 4 ترابایت و یا حافظه های SSD      ",                   ,     ,"      سازنده پردازنده گرافیکی : intel, مدل پردازنده گرافیکی : HD Graphics 520, حافظه اشتراکی پردازنده گرافیکی : 8 گیگابایت                             سازنده پردازنده گرافیکی : intel, مدل پردازنده گرافیکی : HD Graphics 520, حافظه اشتراکی پردازنده گرافیکی : 8 گیگابایت", ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,13.900.000
999,  ,          ,       ,     ,             , , Intel Core i9-13950HX    ,                     ,  36 مگابایت کش                       ,   32GB DDR5 5600MHZ                                     ,              ,1 ترابایت NVMe                 ,                               ,                   ,  RTX 4080-175W   , 12GB DDR6                                  , ,     ,         , , 91 Wh        330 وات سریع       , 18 اینچ          ,  ,  ,   , RGB           ,   ,257.600.000
1000,  ,          ,Corei3       ,     ,             , , 1115G4    ,2                     ,  6MB                       ,   8GB                                     ,              ,256GB SSD                ,      PCIe NVMe                         , INTEL                  ,  UHD   ,                                   ,دارد ,     ,    2 تا 4 ساعت     , ,     2Cell 37WHr           ," 15.6""          ",  ,  ,   ,            ,   ,19.281.000
1001,  ,          ,Core i7       ,     ,             , , 8850H    ,                     ,9 مگابایت                         ,"   16GB, 32GB                                     ",              ,                 ,                               ," Intel, Nvidia                  ",  NVIDIA Quadro P1000   , 4GB                                  ,دارد ,     ,         , ,                , 15.6 اینچ          ,  ,  ,   ,            ,   ,26.900.000
1002,  ,          ,Intel Core i5-1235U       ,     ,             , ,     ,                     ,                         ,     8 گیگابایت                                   ,              ,512 گیگابابت SSD                ,                               ,                   ,     ,                                   , ,     ,         , ,       تا بیش از 18 ساعت با استفاده های بهینه         ,     13.5 اینچی      ,  ,  ,   ,            ,   ,60.185.000
