,نوع و مدل لپ تاپ new,سری AMD new,جزئیات CPU new,مشخصات cpu ( پردازنده ) new,CPU Manufacturer new,نسل پردازنده مرکزی new,هسته پردازشی new,هسته واقعی new,میزان حافظه کش L2 new,ظرفیت داخلی new,امکان ارتقاء هارد دیسک تا new,نوع حافظه داخلي new,ظرفیت حافظه دوم new,سازنده پردازنده گرافیک new,مدل پردازنده گرافیک new,مشخصات گرافیک new,صفحه نمایش مات یا شیشه‌ای new,نور پس زمینه کیبورد new,شارژدهي باتري new,ویژگی های باتری و شارژر new,شارژر / باتری new,ابعاد صفحه نمایش new,تعدادفن new,صحفه نمایش مات new,صفحه تاچ new,نور صفحع کلید new,حسگر اثر انگشت Touch ID new,amount new
497,  ,          ,11th Gen\Tiger Lake       ,     ,  Intel           , , Core i3-1115G4    2 هسته,                     , 6MB Smart Cache                        ,  4GB                                      ,❌              ,                 , 512GB ✔️                             ,                   , NVIDIA GeForce MX330    ,2GB                                   , ,     ,         , , 37WHr               ,15.6 اینچ           ,  ,  ,   ,            ,   ,24.800.000
498,  ,          ,Core i7       ,     ,             , , 11375H    ,                     ,12 مگابایت                         ,     16 گیگابایت                                   ,              ,512 گیگابایت SSD حافظه SSD‌ از نوع M.2               ,                               , Nvidia                  ,  GeForce RTX™ 3060   ,  6 گیگابایت       6 گیگابایت                          ,دارد ,     ,         , ,  باتری با ظرفیت 52.4 وات ساعت              , 15.6 اینچ          ,  ,  ,   ,   دارد         ,   ,59.700.000
499,  ,          ,       ," مدل پردازنده مرکزی:, Intel® Core™ i5-1135G7, نسل پردازنده:, نسل 11 اینتل, فرکانس پردازنده:, 2.4 تا 4.2 گیگاهرتز, مقدار کش:, 8 مگابایت, پردازنده گرافیکی:, 1300 Intel® Iris® Xe Graphics    ",             , ,     ,                     ,                         ,                                        ,              ,"           مقدار رم:, 8GB DDR4, مقدار حافظه داخلی:, 128 گیگابایت, نوع حافظه داخلی:, Removable SSD, پشتیبانی از کارت حافظه:, ندارد      ",                               ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,38.500.000
500,  ,          ,Core i5       ,     ,             , , i5-8250U    ,                     ,                         ,     8 گیگابایت                                   ,              ,256 SSD SSD                ,                               ,                   ,  Intel UHD Graphics 620   ,                                   , ,     ,         , ,       14.5 ساعت         , 13.5 اینچ          ,  ,  ,   ,            ,   ,19.400.000
501,  ,          ,       ,     ,         INTEL    ,12TH ,     ,"     3.0          6 هسته قدرتمند اصلی, 8 هسته ضعیف کمکی      ",24 MB               24MB          ,         128G                               ,              ,                 ,           512GB                    ,                   ,    INTEL UHD 770 ,                    4G               , ,     ,         , ,            53.5wh    ,           ,  ,  ,   ,            ,   ,40.800.000
502, 13980HX ,          ,Core i9 Raptor Lake      ,     , Intel            ,نسل 13 ,x86     ,24                     ,36MB                         , 64GB                                       ,              ,                 , 4TB                              ,NVIDIA                   ,GeForce RTX 4090    ,              16GB                     , ,Backlit Chiclet Keyboard Per-Key RGB     ,         , ,4Cell 90WHr                ,           ,  ,  ,   ,            ,   ,320.979.000
503, 13650HX ,          ,Core i7 Raptor Lake      ,     , Intel            ,نسل 13 ,x86     ,14                     ,24MB                         , 16GB                                       ,              ,                 , 1TB                              ,NVIDIA                   ,GeForce RTX 4060    ,              8GB                     , ,4Zone RGB     ,         , ,4Cell 90WHr                ,           ,  ,  ,   ,            ,   ,87.979.000
504, MX350 ,          ,Core i7       ,     ,NVIDIA             , ,     ,4                     ,          12MB               ,      2GB                                  , 1TB             ,           12GB      ,    512GB                           ,                   ,     ,                                   ,دارد ,     ,1 الی 3 ساعت         , ,2Cell 36WHr                ,           ,  ,  ,   ,            ,   ,29.480.000
505, GTX1650 ,          ,Core i5       ,     ,NVIDIA             , ,     ,4                     ,8MB                         ,8GB                                        ,              ,                 ,    512                           ,                   ,GEFORCE     ,              4GB                     ,دارد ,     ,2 الی 4 ساعت         , ,3Cell 45WHr                ,           ,  ,  ,   ,            ,   ,33.900.000
506, 13980HX ,          ,Core i9 Raptor Lake      ,     , Intel            ,نسل 13 ,x86     ,24                     ,36MB                         , 16GB                                       ,              ,                 , 1TB                              ,NVIDIA                   ,GeForce RTX 4070    ,              8GB                     , ,Backlit Chiclet Keyboard Per-Key RGB     ,         , ,4Cell 90WHr                ,           ,  ,  ,   ,            ,   ,137.280.000
